date,number_of_lab_tests,cumulative_number_of_lab_tests,number_of_cases,cumulative_number_of_cases,currently_hospitalized,currently_in_icu,count_hosp_covid_related,count_icu_covid_related,cumulative_number_of_deaths,number_of_deaths,number_of_variants_of_concern,percent_positivity,total_vaccinated,active_cases
2022-04-07,3887,6966180,920,548555,1064,50,592.0,37.0,4126,8,783,24.83,3386264.0,22568.0
2022-04-08,3660,6969840,932,549487,1067,48,591.0,32.0,4134,8,821,26.42,3386264.0,22568.0
2022-04-09,3405,6973245,822,550309,1051,49,582.0,32.0,4137,3,736,24.79,3386264.0,22568.0
2022-04-10,2243,6975488,591,550900,1082,47,605.0,34.0,4141,4,515,27.37,3386264.0,22568.0
2022-04-11,2845,6978333,839,551739,1105,48,627.0,38.0,4146,5,646,30.58,3386264.0,22568.0
2022-04-12,4434,6982767,1012,552751,1117,50,643.0,40.0,4153,7,900,23.91,3386264.0,22568.0
2022-04-13,4441,6987208,1025,553776,1106,49,619.0,36.0,4162,9,878,23.82,3389886.0,28724.0
2022-04-14,4083,6991291,1023,554799,1105,45,628.0,32.0,4169,7,904,25.89,3389886.0,28724.0
2022-04-15,4217,6995508,846,555645,1095,46,621.0,33.0,4176,7,757,21.08,3389886.0,28724.0
2022-04-16,2717,6998225,738,556383,1099,47,625.0,36.0,4186,10,648,28.27,3389886.0,28724.0
2022-04-17,2260,7000485,637,557020,1144,42,648.0,32.0,4193,7,558,29.96,3389886.0,28724.0
2022-04-18,2715,7003200,812,557832,1190,47,672.0,34.0,4199,6,691,31.01,3389886.0,28724.0
2022-04-19,4466,7007666,1124,558956,1204,49,681.0,37.0,4205,6,928,26.15,3389886.0,28724.0
2022-04-20,4938,7012604,1228,560184,1208,50,682.0,38.0,4212,7,1031,26.08,3385976.0,34804.0
2022-04-21,4487,7017091,1038,561222,1224,47,687.0,36.0,4223,11,889,24.05,3385976.0,34804.0
2022-04-22,3610,7020701,968,562190,1243,46,704.0,38.0,4234,11,803,27.45,3385976.0,34804.0
2022-04-23,3590,7024291,838,563028,1219,48,686.0,41.0,4248,14,749,24.76,3385976.0,34804.0
2022-04-24,2912,7027203,677,563705,1253,48,700.0,37.0,4254,6,584,24.11,3385976.0,34804.0
2022-04-25,2330,7029533,700,564405,1302,54,716.0,41.0,4265,11,531,31.33,3385976.0,34804.0
2022-04-26,4839,7034372,1078,565483,1306,54,715.0,44.0,4273,8,920,23.52,3385976.0,34804.0
2022-04-27,4000,7038372,942,566425,1300,54,699.0,39.0,4283,10,790,24.5,3389176.0,41373.0
2022-04-28,4488,7042860,918,567343,1275,51,682.0,38.0,4293,10,759,21.23,3389176.0,41373.0
2022-04-29,3704,7046564,756,568099,1263,49,682.0,39.0,4306,13,628,21.63,3389176.0,41373.0
2022-04-30,3488,7050052,726,568825,1227,44,655.0,37.0,4311,5,615,22.02,3389176.0,41373.0
2022-05-01,2260,7052312,609,569434,1277,45,685.0,38.0,4324,13,525,28.1,3389176.0,41373.0
2022-05-02,2966,7055278,671,570105,1336,49,711.0,38.0,4329,5,531,23.63,3389176.0,41373.0
2022-05-03,3628,7058906,756,570861,1347,55,720.0,42.0,4338,9,632,21.91,3389176.0,41373.0
2022-05-04,3843,7062749,772,571633,1308,50,704.0,40.0,4349,11,669,20.63,3392584.0,47127.0
2022-05-05,3961,7066710,777,572410,1301,47,702.0,38.0,4357,8,632,20.47,3392584.0,47127.0
2022-05-06,3691,7070401,690,573100,1271,43,673.0,36.0,4367,10,569,19.56,3392584.0,47127.0
2022-05-07,2851,7073252,590,573690,1218,38,640.0,30.0,4373,6,505,21.29,3392584.0,47127.0
2022-05-08,841,7074093,134,573824,1245,38,652.0,29.0,4382,9,103,17.0,3392584.0,47127.0
2022-05-09,3225,7077318,822,574646,1276,40,666.0,28.0,4388,6,655,26.79,3392584.0,47127.0
2022-05-10,3156,7080474,654,575300,1263,41,649.0,29.0,4399,11,535,21.67,3392584.0,47127.0
2022-05-11,3135,7083609,585,575885,1237,37,621.0,29.0,4407,8,467,19.52,3394959.0,51506.0
2022-05-12,3203,7086812,602,576487,1221,36,617.0,26.0,4419,12,471,19.29,3394959.0,51506.0
2022-05-13,2348,7089160,470,576957,1197,39,611.0,30.0,4425,6,388,20.87,3394959.0,51506.0
2022-05-14,2635,7091795,450,577407,1170,38,597.0,28.0,4432,7,374,17.69,3394959.0,51506.0
2022-05-15,1846,7093641,354,577761,1183,41,602.0,29.0,4440,8,292,19.99,3394959.0,51506.0
2022-05-16,2125,7095766,479,578240,1210,42,613.0,28.0,4447,7,374,23.15,3394959.0,51506.0
2022-05-17,3277,7099043,546,578786,1215,39,611.0,26.0,4458,11,436,18.31,3394959.0,51506.0
2022-05-18,2357,7101400,469,579255,1185,37,588.0,25.0,4465,7,373,20.62,3397198.0,54612.0
2022-05-19,2847,7104247,493,579748,1172,37,584.0,25.0,4471,6,382,19.11,3397198.0,54612.0
2022-05-20,2280,7106527,355,580103,1095,34,543.0,25.0,4476,5,270,15.88,3397198.0,54612.0
2022-05-21,2219,7108746,291,580394,1064,31,525.0,24.0,4485,9,234,13.84,3397198.0,54612.0
2022-05-22,1495,7110241,231,580625,1065,30,529.0,23.0,4495,10,182,15.99,3397198.0,54612.0
2022-05-23,1648,7111889,320,580945,1079,31,540.0,24.0,4499,4,263,20.75,3397198.0,54612.0
2022-05-24,1868,7113757,389,581334,1097,31,545.0,24.0,4506,7,298,21.25,3397198.0,54612.0
2022-05-25,2958,7116715,453,581787,1073,26,536.0,21.0,4511,5,345,16.02,3407041.0,57202.0
2022-05-26,2205,7118920,363,582150,1031,32,512.0,24.0,4516,5,294,17.05,3407041.0,57202.0
2022-05-27,2172,7121092,341,582491,1001,35,491.0,28.0,4521,5,267,17.08,3407041.0,57202.0
2022-05-28,1813,7122905,259,582750,958,33,468.0,27.0,4522,1,208,14.89,3407041.0,57202.0
2022-05-29,799,7123704,88,582838,949,34,474.0,26.0,4527,5,72,12.89,3407041.0,57202.0
2022-05-30,2124,7125828,438,583276,951,34,483.0,26.0,4535,8,319,21.99,3407041.0,57202.0
2022-05-31,2359,7128187,357,583633,943,32,475.0,25.0,4540,5,270,15.68,3407041.0,57202.0
2022-06-01,2068,7130255,271,583904,905,33,452.0,25.0,4543,3,234,13.78,3409240.0,59433.0
2022-06-02,1989,7132244,298,584202,871,32,436.0,23.0,4543,0,241,15.28,3409240.0,59433.0
2022-06-03,1855,7134099,266,584468,864,32,433.0,23.0,4549,6,204,15.2,3409240.0,59433.0
2022-06-04,1463,7135562,195,584663,828,30,418.0,21.0,4559,10,153,13.47,3409240.0,59433.0
2022-06-05,1149,7136711,187,584850,829,28,417.0,21.0,4562,3,143,17.23,3409240.0,59433.0
2022-06-06,1394,7138105,232,585082,844,25,419.0,19.0,4564,2,154,17.43,3409240.0,59433.0
2022-06-07,2071,7140176,290,585372,821,22,412.0,18.0,4566,2,225,14.29,3409240.0,59433.0
2022-06-08,2099,7142275,263,585635,792,22,396.0,20.0,4570,4,190,12.77,3403562.0,61084.0
2022-06-09,1772,7144047,246,585881,771,19,378.0,16.0,4573,3,197,14.16,3403562.0,61084.0
2022-06-10,1327,7145374,183,586064,767,22,377.0,17.0,4575,2,144,14.32,3403562.0,61084.0
2022-06-11,1211,7146585,142,586206,742,25,367.0,20.0,4576,1,112,12.88,3403562.0,61084.0
2022-06-12,1285,7147870,146,586352,735,22,365.0,17.0,4580,4,115,11.83,3403562.0,61084.0
2022-06-13,1242,7149112,163,586515,739,19,368.0,13.0,4582,2,126,13.77,3403562.0,61084.0
2022-06-14,1527,7150639,206,586721,719,21,362.0,12.0,4583,1,144,14.01,3403562.0,61084.0
2022-06-15,1775,7152414,184,586905,706,21,356.0,12.0,4584,1,139,10.76,3405632.0,62429.0
2022-06-16,1218,7153632,146,587051,691,17,346.0,8.0,4584,0,119,12.32,3405632.0,62429.0
2022-06-17,1521,7155153,176,587227,678,14,345.0,8.0,4584,0,124,12.49,3405632.0,62429.0
2022-06-18,1231,7156384,162,587389,663,18,342.0,11.0,4589,5,130,14.3,3405632.0,62429.0
2022-06-19,734,7157118,66,587455,666,17,346.0,10.0,4593,4,51,8.86,3405632.0,62429.0
2022-06-20,949,7158067,138,587593,682,18,350.0,11.0,4595,2,112,15.91,3405632.0,62429.0
2022-06-21,1409,7159476,180,587773,674,20,351.0,13.0,4598,3,138,13.48,3405632.0,62429.0
2022-06-22,1394,7160870,153,587926,660,15,344.0,9.0,4601,3,116,11.33,3406934.0,64211.0
2022-06-23,1419,7162289,127,588053,651,17,338.0,12.0,4604,3,108,10.22,3406934.0,64211.0
2022-06-24,1067,7163356,132,588185,632,15,324.0,10.0,4608,4,92,13.12,3406934.0,64211.0
2022-06-25,1110,7164466,121,588306,609,15,309.0,8.0,4610,2,101,11.44,3406934.0,64211.0
2022-06-26,824,7165290,92,588398,605,15,310.0,8.0,4611,1,77,11.65,3406934.0,64211.0
2022-06-27,1036,7166326,128,588526,602,13,303.0,7.0,4612,1,95,13.42,3406934.0,64211.0
2022-06-28,1372,7167698,168,588694,584,14,288.0,8.0,4613,1,141,12.54,3406934.0,64211.0
2022-06-29,1459,7169157,174,588868,576,14,289.0,7.0,4615,2,135,13.5,3406934.0,65012.0
2022-06-30,1103,7170260,197,589065,562,16,277.0,7.0,4617,2,149,18.77,3406934.0,65012.0
2022-07-01,1016,7171276,156,589221,555,15,280.0,8.0,4621,4,129,16.04,3406934.0,65012.0
2022-07-02,830,7172106,125,589346,564,17,293.0,8.0,4621,0,102,16.27,3406934.0,65012.0
2022-07-03,922,7173028,114,589460,571,19,302.0,10.0,4624,3,96,13.23,3406934.0,65012.0
2022-07-04,1122,7174150,180,589640,592,23,313.0,13.0,4625,1,154,17.65,3406934.0,65012.0
2022-07-05,1298,7175448,247,589887,595,19,315.0,10.0,4629,4,200,20.18,3406934.0,65012.0
2022-07-06,1130,7176578,188,590075,575,21,295.0,9.0,4630,1,152,17.26,3409805.0,66047.0
2022-07-07,1204,7177782,230,590305,573,21,294.0,10.0,4633,3,187,20.51,3409805.0,66047.0
2022-07-08,1089,7178871,190,590495,563,18,292.0,10.0,4635,2,157,18.64,3409805.0,66047.0
2022-07-09,1087,7179958,191,590686,544,19,285.0,11.0,4639,4,163,17.85,3409805.0,66047.0
2022-07-10,782,7180740,131,590817,555,16,293.0,9.0,4640,1,110,18.16,3409805.0,66047.0
2022-07-11,980,7181720,176,590993,573,17,304.0,10.0,4644,4,143,19.08,3409805.0,66047.0
2022-07-12,1154,7182874,250,591243,562,22,291.0,13.0,4645,1,211,22.44,3409805.0,66047.0
2022-07-13,1364,7184238,264,591507,550,25,283.0,14.0,4646,1,208,19.72,3411394.0,67404.0
2022-07-14,1082,7185320,235,591742,552,25,280.0,15.0,4649,3,165,22.37,3411394.0,67404.0
2022-07-15,1134,7186454,245,591987,554,20,280.0,12.0,4651,2,198,22.66,3411394.0,67404.0
2022-07-16,1001,7187455,205,592192,561,22,281.0,14.0,4652,1,180,21.98,3411394.0,67404.0
2022-07-17,892,7188347,179,592371,578,26,295.0,18.0,4653,1,150,20.74,3411394.0,67404.0
2022-07-18,1060,7189407,304,592675,602,27,313.0,21.0,4654,1,196,29.53,3411394.0,67404.0
2022-07-19,1405,7190812,320,592995,595,27,316.0,22.0,4656,2,250,23.99,3411394.0,67404.0
2022-07-20,1218,7192030,264,593259,591,25,316.0,21.0,4659,3,204,23.15,3412985.0,69088.0
2022-07-21,1140,7193170,275,593534,592,21,311.0,17.0,4661,2,185,25.35,3412985.0,69088.0
2022-07-22,1072,7194242,217,593751,606,23,316.0,18.0,4663,2,166,22.39,3412985.0,69088.0
2022-07-23,1031,7195273,232,593983,624,24,327.0,20.0,4666,3,188,24.44,3412985.0,69088.0
2022-07-24,784,7196057,162,594145,655,26,338.0,22.0,4667,1,114,21.94,3412985.0,69088.0
2022-07-25,949,7197006,217,594362,686,27,355.0,21.0,4673,6,169,24.24,3412985.0,69088.0
2022-07-26,1317,7198323,297,594659,705,25,358.0,20.0,4677,4,229,23.84,3412985.0,69088.0
2022-07-27,1292,7199615,237,594896,713,25,357.0,20.0,4679,2,185,19.35,3414320.0,70795.0
2022-07-28,1179,7200794,252,595148,739,22,369.0,16.0,4683,4,199,23.24,3414320.0,70795.0
2022-07-29,1336,7202130,308,595456,738,22,363.0,16.0,4685,2,190,24.48,3414320.0,70795.0
2022-07-30,929,7203059,198,595654,725,21,349.0,16.0,4687,2,145,22.39,3414320.0,70795.0
2022-07-31,766,7203825,150,595804,739,26,358.0,21.0,4698,11,109,22.06,3414320.0,70795.0
2022-08-01,950,7204775,212,596016,750,28,360.0,22.0,4701,3,174,24.11,3414320.0,70795.0
2022-08-02,1159,7205934,246,596262,771,26,376.0,20.0,4704,3,171,23.3,3414320.0,70795.0
2022-08-03,1483,7207417,332,596594,757,24,365.0,17.0,4707,3,275,24.14,3415323.0,72447.0
2022-08-04,1149,7208566,266,596860,772,23,364.0,13.0,4709,2,203,24.89,3415323.0,72447.0
2022-08-05,1146,7209712,257,597117,772,32,356.0,17.0,4711,2,192,24.0,3415323.0,72447.0
2022-08-06,1069,7210781,245,597362,762,29,346.0,17.0,4718,7,171,23.67,3415323.0,72447.0
2022-08-07,924,7211705,212,597574,778,27,349.0,15.0,4719,1,146,24.03,3415323.0,72447.0
2022-08-08,916,7212621,215,597789,807,29,363.0,16.0,4725,6,148,26.2,3415323.0,72447.0
2022-08-09,1258,7213879,277,598066,789,30,359.0,19.0,4730,5,201,24.32,3415323.0,72447.0
2022-08-10,1234,7215113,247,598313,795,31,361.0,21.0,4731,1,192,22.45,3416644.0,74212.0
2022-08-11,1168,7216281,271,598584,805,32,358.0,19.0,4735,4,202,25.09,3416644.0,74212.0
2022-08-12,1248,7217529,278,598862,809,30,360.0,19.0,4736,1,197,25.32,3416644.0,74212.0
2022-08-13,1156,7218685,233,599095,803,31,357.0,19.0,4737,1,175,21.37,3416644.0,74212.0
2022-08-14,848,7219533,126,599221,829,30,376.0,18.0,4742,5,95,17.57,3416644.0,74212.0
2022-08-15,943,7220476,202,599423,866,31,401.0,19.0,4744,2,142,24.07,3416644.0,74212.0
2022-08-16,1267,7221743,313,599736,872,32,414.0,19.0,4748,4,221,26.36,3416644.0,74212.0
2022-08-17,1180,7222923,231,599967,895,34,430.0,21.0,4753,5,175,21.44,3419175.0,75825.0
2022-08-18,1297,7224220,272,600239,864,27,406.0,15.0,4759,6,200,22.36,3419175.0,75825.0
2022-08-19,971,7225191,192,600431,852,30,402.0,18.0,4765,6,134,21.11,3419175.0,75825.0
2022-08-20,841,7226032,193,600624,852,25,395.0,14.0,4772,7,157,25.92,3419175.0,75825.0
2022-08-21,896,7226928,205,600829,859,25,392.0,15.0,4776,4,137,25.33,3419175.0,75825.0
2022-08-22,813,7227741,157,600986,897,29,409.0,18.0,4779,3,117,20.17,3419175.0,75825.0
2022-08-23,1349,7229090,260,601246,904,30,414.0,19.0,4782,3,204,21.05,3419175.0,75825.0
2022-08-24,1172,7230262,241,601487,893,31,401.0,19.0,4785,3,156,22.27,3420533.0,77658.0
2022-08-25,1312,7231574,187,601674,889,26,402.0,17.0,4789,4,120,15.32,3420533.0,77658.0
2022-08-26,1186,7232760,166,601840,885,34,396.0,22.0,4793,4,122,16.86,3420533.0,77658.0
2022-08-27,962,7233722,184,602024,858,29,382.0,21.0,4799,6,124,20.89,3420533.0,77658.0
2022-08-28,868,7234590,164,602188,867,26,388.0,20.0,4806,7,114,20.97,3420533.0,77658.0
2022-08-29,774,7235364,141,602329,880,20,394.0,16.0,4816,10,108,19.9,3420533.0,77658.0
2022-08-30,1071,7236435,170,602499,871,21,382.0,17.0,4821,5,123,17.83,3420533.0,77658.0
2022-08-31,1251,7237686,199,602698,840,20,355.0,14.0,4829,8,140,17.59,3422049.0,78755.0
2022-09-01,1028,7238714,174,602872,837,19,347.0,10.0,4831,2,121,18.68,3422049.0,78755.0
2022-09-02,1029,7239743,149,603021,826,22,345.0,12.0,4832,1,88,16.52,3422049.0,78755.0
2022-09-03,902,7240645,140,603161,797,21,334.0,13.0,4836,4,99,17.41,3422049.0,78755.0
2022-09-04,785,7241430,118,603279,802,22,338.0,14.0,4838,2,91,17.32,3422049.0,78755.0
2022-09-05,725,7242155,114,603393,833,20,362.0,13.0,4840,2,81,16.97,3422049.0,78755.0
2022-09-06,913,7243068,116,603509,846,17,362.0,10.0,4841,1,77,13.69,3422049.0,78755.0
2022-09-07,1185,7244253,214,603723,842,17,362.0,9.0,4850,9,156,19.07,3423156.0,79822.0
2022-09-08,928,7245181,175,603898,845,17,361.0,9.0,4851,1,139,20.58,3423156.0,79822.0
2022-09-09,1154,7246335,179,604077,832,18,361.0,10.0,4854,3,115,15.94,3423156.0,79822.0
2022-09-10,874,7247209,129,604206,819,20,355.0,12.0,4857,3,102,15.33,3423156.0,79822.0
2022-09-11,785,7247994,127,604333,822,27,356.0,16.0,4863,6,90,17.83,3423156.0,79822.0
2022-09-12,789,7248783,142,604475,866,26,374.0,15.0,4867,4,115,19.26,3423156.0,79822.0
2022-09-13,1240,7250023,228,604703,867,23,366.0,13.0,4871,4,165,20.48,3423156.0,79822.0
2022-09-14,1211,7251234,190,604893,876,21,374.0,13.0,4875,4,123,17.51,3424064.0,80899.0
2022-09-15,1076,7252310,201,605094,872,21,374.0,12.0,4876,1,150,20.54,3424064.0,80899.0
2022-09-16,945,7253255,169,605263,888,26,376.0,16.0,4879,3,123,19.47,3424064.0,80899.0
2022-09-17,923,7254178,190,605453,883,28,368.0,17.0,4884,5,140,21.89,3424064.0,80899.0
2022-09-18,826,7255004,134,605587,902,27,375.0,17.0,4889,5,84,18.16,3424064.0,80899.0
2022-09-19,942,7255946,197,605784,937,29,389.0,19.0,4893,4,147,23.14,3424064.0,80899.0
2022-09-20,1234,7257180,175,605959,949,28,389.0,19.0,4898,5,132,15.96,3424064.0,80899.0
2022-09-21,1229,7258409,257,606216,954,30,382.0,21.0,4901,3,198,23.68,3424948.0,82078.0
2022-09-22,1350,7259759,246,606462,973,32,394.0,23.0,4905,4,191,20.67,3424948.0,82078.0
2022-09-23,1101,7260860,193,606655,980,37,399.0,25.0,4908,3,127,19.26,3424948.0,82078.0
2022-09-24,1038,7261898,208,606863,985,38,405.0,26.0,4913,5,159,21.58,3424948.0,82078.0
2022-09-25,995,7262893,154,607017,1014,38,410.0,23.0,4922,9,108,17.69,3424948.0,82078.0
2022-09-26,1040,7263933,175,607192,1031,40,415.0,25.0,4927,5,132,18.17,3424948.0,82078.0
2022-09-27,1309,7265242,271,607463,1018,41,414.0,25.0,4929,2,209,23.15,3424948.0,82078.0
2022-09-28,1257,7266499,206,607669,1020,41,413.0,24.0,4933,4,136,17.9,3425775.0,83610.0
2022-09-29,1243,7267742,249,607918,1027,38,414.0,21.0,4939,6,174,22.69,3425775.0,83610.0
2022-09-30,982,7268724,168,608086,1036,33,430.0,20.0,4942,3,130,18.43,3425775.0,83610.0
2022-10-01,970,7269694,167,608253,1027,27,426.0,16.0,4944,2,113,18.25,3425775.0,83610.0
2022-10-02,958,7270652,169,608422,1038,33,433.0,18.0,4948,4,138,17.95,3425775.0,83610.0
2022-10-03,1070,7271722,189,608611,1055,33,443.0,16.0,4952,4,141,17.57,3425775.0,83610.0
2022-10-04,1152,7272874,268,608879,1055,32,445.0,15.0,4960,8,215,26.74,3425775.0,83610.0
2022-10-05,1028,7273902,180,609059,1042,31,431.0,14.0,4963,3,153,22.28,3425775.0,83610.0
2022-10-06,1436,7275338,212,609271,1031,30,425.0,15.0,4969,6,172,17.06,3425775.0,83610.0
2022-10-07,1251,7276589,182,609453,1015,31,425.0,16.0,4973,4,143,15.67,3425775.0,83610.0
2022-10-08,958,7277547,168,609621,1018,29,440.0,16.0,4978,5,144,19.62,3425775.0,83610.0
2022-10-09,798,7278345,145,609766,1028,28,447.0,14.0,4984,6,116,20.18,3425775.0,83610.0
2022-10-10,855,7279200,135,609901,1054,30,459.0,16.0,4987,3,98,17.43,3425775.0,83610.0
2022-10-11,1102,7280302,172,610073,1094,32,487.0,20.0,4992,5,129,16.42,3425775.0,83610.0
2022-10-12,1217,7281519,225,610298,1104,30,485.0,19.0,4996,4,172,20.05,3428936.0,86348.0
2022-10-13,1205,7282724,258,610556,1102,30,489.0,20.0,5002,6,198,23.65,3428936.0,86348.0
2022-10-14,1399,7284123,220,610776,1101,33,491.0,20.0,5008,6,174,17.66,3428936.0,86348.0
2022-10-15,1013,7285136,163,610939,1070,37,482.0,23.0,5011,3,128,17.97,3428936.0,86348.0
2022-10-16,944,7286080,183,611122,1099,35,495.0,22.0,5017,6,141,20.76,3428936.0,86348.0
2022-10-17,1012,7287092,159,611281,1115,32,504.0,19.0,5020,3,122,16.9,3428936.0,86348.0
2022-10-18,1394,7288486,234,611515,1123,30,504.0,17.0,5028,8,190,18.22,3428936.0,86348.0
2022-10-19,1228,7289714,238,611753,1134,31,509.0,20.0,5032,4,198,21.91,3430550.0,87710.0
2022-10-20,1302,7291016,234,611987,1118,33,505.0,22.0,5038,6,193,20.66,3430550.0,87710.0
2022-10-21,1301,7292317,202,612189,1124,32,507.0,20.0,5041,3,178,18.06,3430550.0,87710.0
2022-10-22,833,7293150,158,612347,1112,30,497.0,18.0,5050,9,117,20.53,3430550.0,87710.0
2022-10-23,1196,7294346,191,612538,1129,30,509.0,18.0,5059,9,156,17.64,3430550.0,87710.0
2022-10-24,1214,7295560,191,612729,1164,30,521.0,18.0,5063,4,148,16.64,3430550.0,87710.0
2022-10-25,1363,7296923,226,612955,1163,28,526.0,17.0,5069,6,175,18.05,3430550.0,87710.0
2022-10-26,1106,7298029,148,613103,1142,28,507.0,18.0,5074,5,108,14.74,3432396.0,89014.0
2022-10-27,1397,7299426,247,613350,1128,28,500.0,18.0,5082,8,190,19.33,3432396.0,89014.0
2022-10-28,1068,7300494,145,613495,1112,28,492.0,18.0,5088,6,123,16.1,3432396.0,89014.0
2022-10-29,1167,7301661,194,613689,1094,27,479.0,14.0,5093,5,155,17.91,3432396.0,89014.0
2022-10-30,938,7302599,155,613844,1112,25,492.0,13.0,5096,3,114,17.8,3432396.0,89014.0
2022-10-31,1120,7303719,156,614000,1131,25,503.0,13.0,5101,5,122,15.54,3432396.0,89014.0
2022-11-01,1464,7305183,264,614264,1141,25,512.0,14.0,5104,3,200,19.33,3432396.0,89014.0
2022-11-02,1142,7306325,193,614457,1131,29,505.0,16.0,5112,8,150,18.3,3433915.0,90555.0
2022-11-03,1858,7308183,236,614693,1147,27,512.0,17.0,5118,6,164,14.26,3433915.0,90555.0
2022-11-04,1209,7309392,202,614895,1129,28,505.0,18.0,5123,5,160,18.86,3433915.0,90555.0
2022-11-05,1392,7310784,190,615085,1108,31,502.0,18.0,5129,6,145,15.45,3433915.0,90555.0
2022-11-06,993,7311777,138,615223,1114,37,498.0,19.0,5134,5,102,14.6,3433915.0,90555.0
